Product ID,UPC,Brand,Description,Category,Location ID,Regular Price,Promo Price,Stock Level,Size,Sold By,Date Retrieved,Product Category,Quantity,UOM,Price per Unit,Promo Price per Unit
9396681121,9396681121,Organic Valley,Organic Valley Free Range Grade A Large Brown Eggs,"Dairy, Natural & Organic",09700336,3.99,0.0,Unknown,6 ct,UNIT,2025-02-25,Egg,6.0,ct,0.665,0.0
3822206200,3822206200,The Country Hen,The Country Hen Organic Large Grade A Brown Eggs,"Breakfast, Dairy",09700336,5.29,0.0,Unknown,6 ct,UNIT,2025-02-25,Egg,6.0,ct,0.8816666666666667,0.0
81565200418,81565200418,Nellie's,Nellie's Free Range Eggs Large,"Breakfast, Dairy",09700336,6.29,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.5241666666666667,0.0
88742200000,88742200000,Happy Egg Co.,Happy Egg Co. Free Range Large Brown Eggs,"Natural & Organic, Dairy",09700336,5.99,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.4991666666666667,0.0
71514172928,71514172928,Eggland's Best,Eggland's Best Grade A Extra Large Eggs,"Breakfast, Dairy",09700336,5.29,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.44083333333333335,0.0
7590097122,7590097122,Bob Evans,Bob Evans Liquid Egg Whites,Dairy,09700336,6.99,0.0,Unknown,32 oz,UNIT,2025-02-25,Egg,32.0,oz,0.2184375,0.0
73692100037,73692100037,Nest Fresh,Nest Fresh Non-GMO Free Range Brown Eggs,"Dairy, Breakfast",09700336,5.69,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.4741666666666667,0.0
71514150349,71514150349,Eggland's Best,Eggland's Best Grade A Large Eggs,"Breakfast, Dairy",09700336,4.99,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.41583333333333333,0.0
71514171682,71514171682,Eggland's Best,Eggland's Best Organic Cage Free Grade A Large Brown Eggs,"Natural & Organic, Breakfast, Dairy",09700336,5.99,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.4991666666666667,0.0
7203663217,7203663217,Harris Teeter,Harris Teeter Large White Eggs,Dairy,09700336,4.39,0.0,Unknown,18 ct,UNIT,2025-02-25,Egg,18.0,ct,0.24388888888888888,0.0
71514111356,71514111356,Eggland's Best,Eggland's Best Grade A Extra Large Eggs,"Dairy, Breakfast",09700336,7.29,0.0,Unknown,18 ct,UNIT,2025-02-25,Egg,18.0,ct,0.405,0.0
86174500001,86174500001,Vital Farms,Vital Farms Pasture-Raised Grade A Large Eggs,"Natural & Organic, Dairy",09700336,7.99,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.6658333333333334,0.0
71514111357,71514111357,Eggland's Best,Eggland's Best Large White Eggs,"Breakfast, Dairy",09700336,6.99,0.0,Unknown,18 ct,UNIT,2025-02-25,Egg,18.0,ct,0.38833333333333336,0.0
86174500002,86174500002,Vital Farms,Vital Farms® Pasture-Raised Large Brown Organic Eggs,"Natural & Organic, Dairy",09700336,8.49,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.7075,0.0
81565200214,81565200214,Pete and Gerrys,Pete and Gerry's Organic Free Range Large Eggs,"Natural & Organic, Dairy",09700336,7.29,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.6075,0.0
1111079772,1111079772,Simple Truth Organic,Simple Truth Organic™ Cage Free Grade A Large Brown Eggs,"Natural & Organic, Dairy",09700336,4.99,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.41583333333333333,0.0
7590033333,7590033333,Bob Evans,Bob Evans Liquid Egg Whites,Dairy,09700336,3.49,0.0,Unknown,16 oz,UNIT,2025-02-25,Egg,16.0,oz,0.218125,0.0
71514151464,71514151464,Eggland's Best,Eggland's Best Cage Free Grade A Large Brown Eggs,"Breakfast, Dairy",09700336,5.49,0.0,Unknown,12 ct,UNIT,2025-02-25,Egg,12.0,ct,0.4575,0.0
7518500501,7518500501,Martin's,Martin's 100% Whole Wheat Potato Bread,Bakery,09700336,3.99,0.0,Unknown,20 oz,UNIT,2025-02-25,Bread,20.0,oz,0.1995,0.0
7518500700,7518500700,Martin's,Martin's Sandwich Potato Bread,Bakery,09700336,3.99,0.0,Unknown,18 oz,UNIT,2025-02-25,Bread,18.0,oz,0.22166666666666668,0.0
81075701001,81075701001,Schar,Schar Gluten Free Artisan Baker Multigrain Bread,"Bakery, Natural & Organic",09700336,7.49,0.0,Unknown,14.1 oz,UNIT,2025-02-25,Bread,14.1,oz,0.5312056737588653,0.0
81075701000,81075701000,Schar,Schar Gluten Free Artisan Baker White Bread,"Bakery, Natural & Organic",09700336,7.49,0.0,Unknown,14.1 oz,UNIT,2025-02-25,Bread,14.1,oz,0.5312056737588653,0.0
7341000026,7341000026,Arnold,Arnold Whole Grains 12 Grains Sandwich Bread (Packaging May Vary),Bakery,09700336,5.29,0.0,Unknown,24 oz,UNIT,2025-02-25,Bread,24.0,oz,0.22041666666666668,0.0
7294570544,7294570544,Sara Lee,Sara Lee White made with Whole Wheat Bread,Bakery,09700336,3.99,0.0,Unknown,20 oz,UNIT,2025-02-25,Bread,20.0,oz,0.1995,0.0
7341001355,7341001355,Arnold,Arnold Whole Grains Oatnut Sandwich Bread (Packaging May Vary),Bakery,09700336,5.29,0.0,Unknown,24 oz,UNIT,2025-02-25,Bread,24.0,oz,0.22041666666666668,0.0
7225002074,7225002074,Nature's Own,Nature's Own Perfectly Crafted White Bread,Bakery,09700336,4.49,0.0,Unknown,22 oz,UNIT,2025-02-25,Bread,22.0,oz,0.2040909090909091,0.0
7225002075,7225002075,Nature's Own,Nature's Own Perfectly Crafted Multigrain Bread,Bakery,09700336,4.49,0.0,Unknown,22 oz,UNIT,2025-02-25,Bread,22.0,oz,0.2040909090909091,0.0
7225003712,7225003712,Nature's Own,Nature's Own 100% Whole Wheat Bread,Bakery,09700336,4.29,0.0,Unknown,20 oz,UNIT,2025-02-25,Bread,20.0,oz,0.2145,0.0
7294561284,7294561284,Sara Lee,Sara Lee Artesano Brioche Bakery Bread,Bakery,09700336,4.49,0.0,Unknown,20 oz,UNIT,2025-02-25,Bread,20.0,oz,0.2245,0.0
